DATE,TYPE,FROMPORTFOLIO,TOPORTFOLIO,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,TOADDRESS,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID,PERSONALNOTE
Sat Jan 15 2022 02:29:10 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.018554,XTZ,opFk2iapihiLAjvBeWvNMWZz45zcfvbRaMNcZM42fN99zsJVqpj,https://tzstats.com/operation/opFk2iapihiLAjvBeWvNMWZz45zcfvbRaMNcZM42fN99zsJVqpj,,
Tue Jan 18 2022 00:30:00 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.018862,XTZ,ooeX3K76VwRdZNPms2nFTaJ3rQ7fKZ3KTfuEYyKT9wV2ifdiFNA,https://tzstats.com/operation/ooeX3K76VwRdZNPms2nFTaJ3rQ7fKZ3KTfuEYyKT9wV2ifdiFNA,,
Thu Jan 20 2022 23:47:00 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.01846,XTZ,onuqh15gEvAR1m1s5YLqJVgH42fse23J2kcWAAAD8BtgYDARrhX,https://tzstats.com/operation/onuqh15gEvAR1m1s5YLqJVgH42fse23J2kcWAAAD8BtgYDARrhX,,
Sun Jan 23 2022 23:40:40 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.018499,XTZ,oonKkjDwvw1fMcKojxZQFRNEc3G788HkrcJXeaTBKYgJQN9HFpQ,https://tzstats.com/operation/oonKkjDwvw1fMcKojxZQFRNEc3G788HkrcJXeaTBKYgJQN9HFpQ,,
Mon Jan 24 2022 10:42:11 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.01072965,BTC,8711afa326bab9b3aa673f7808330486d73c7fb76f54ae968d235e59583551d1,https://mempool.space/tx/8711afa326bab9b3aa673f7808330486d73c7fb76f54ae968d235e59583551d1,,
Thu Jan 27 2022 00:53:38 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.017937,XTZ,opEgbtGWit2sY92T8Rw5ZwkEmvuwXAHCoDo93faPRmU8t9AffK4,https://tzstats.com/operation/opEgbtGWit2sY92T8Rw5ZwkEmvuwXAHCoDo93faPRmU8t9AffK4,,
Sun Jan 30 2022 00:11:48 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.018306,XTZ,ooyvcsgKe1NvXuDdvb5JtgzM6rGDdhtFrTnxcMMHvY1MLAbticr,https://tzstats.com/operation/ooyvcsgKe1NvXuDdvb5JtgzM6rGDdhtFrTnxcMMHvY1MLAbticr,,
Wed Feb 02 2022 01:13:56 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.018523,XTZ,opFLjjpY2dkyHqBoV1PWkAHSrQETpLnhG49aoTyYaHpwigyC7eq,https://tzstats.com/operation/opFLjjpY2dkyHqBoV1PWkAHSrQETpLnhG49aoTyYaHpwigyC7eq,,
Sat Feb 05 2022 02:43:04 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.018692,XTZ,oo3bYJYzvQJETvyMGUfUH1rEsgAZt9P8sQ1iSKLqChKa1fhTwZD,https://tzstats.com/operation/oo3bYJYzvQJETvyMGUfUH1rEsgAZt9P8sQ1iSKLqChKa1fhTwZD,,
Mon Feb 07 2022 08:31:34 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.018953,XTZ,opPP2owCTyndX5rXkgV8Xsm9YPBKB8dnUs2HYg1PPE4TUcPLHxv,https://tzstats.com/operation/opPP2owCTyndX5rXkgV8Xsm9YPBKB8dnUs2HYg1PPE4TUcPLHxv,,
